# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
4.800000,5.6404245253e-01,6.2109010325e-01,5.4241444234e-01,5.7456585921e-01,4.9666585667e-01,5.0328040872e-01,4.2558475787e-01,4.5771035276e-01,3.7876562172e-01,4.3588014494e-01
4.850000,5.6208880239e-01,6.1623082277e-01,5.4387189750e-01,5.7541988349e-01,4.9059581301e-01,5.0933013970e-01,4.2469778669e-01,4.5627669281e-01,3.8367822306e-01,4.3780993859e-01
4.900000,5.6021122729e-01,6.1066411027e-01,5.4557603837e-01,5.7620623226e-01,4.8408860721e-01,5.1582703682e-01,4.2387450093e-01,4.5459015110e-01,3.8929990007e-01,4.3966219568e-01
4.950000,5.5834476850e-01,6.0459407170e-01,5.4728927753e-01,5.7703747368e-01,4.7772302426e-01,5.2219339933e-01,4.2300434654e-01,4.5288629884e-01,3.9542455283e-01,4.4150278679e-01
5.000000,5.5643809311e-01,5.9824743957e-01,5.4872887812e-01,5.7802375737e-01,4.7211386238e-01,5.2781490672e-01,4.2197938066e-01,4.5144616021e-01,4.0182352524e-01,4.4338399662e-01
5.050000,5.5445433743e-01,5.9185860769e-01,5.4960121131e-01,5.7925479706e-01,4.6782459837e-01,5.3212784605e-01,4.2071212392e-01,4.5056223430e-01,4.0826059483e-01,4.4534364904e-01
5.100000,5.5236967509e-01,5.8565449143e-01,5.4963934454e-01,5.8078300923e-01,4.6529044678e-01,5.3469604276e-01,4.1915227111e-01,4.5050109987e-01,4.1450711227e-01,4.4740650693e-01
5.150000,5.5017049349e-01,5.7984084679e-01,5.4863718389e-01,5.8261181038e-01,4.6476687616e-01,5.3526243288e-01,4.1729827446e-01,4.5146934581e-01,4.2035567401e-01,4.4958706213e-01
5.200000,5.4785025444e-01,5.7459135723e-01,5.4647444435e-01,5.8469176722e-01,4.6631181544e-01,5.3376702325e-01,4.1520111056e-01,4.5358855076e-01,4.2563103823e-01,4.5189263852e-01
5.250000,5.4540701354e-01,5.7004038601e-01,5.4312898223e-01,5.8692509943e-01,4.6980104416e-01,5.3033171018e-01,4.1295972482e-01,4.5688280414e-01,4.3019740208e-01,4.5432583341e-01
5.300000,5.4284222582e-01,5.6627984858e-01,5.3867573772e-01,5.8917685314e-01,4.7496822839e-01,5.2522045289e-01,4.1070981961e-01,4.6127956903e-01,4.3396159478e-01,4.5688567004e-01
5.350000,5.4016098684e-01,5.6336018802e-01,5.3327393744e-01,5.9128974712e-01,4.8145608811e-01,5.1878828030e-01,4.0860896510e-01,4.6662229084e-01,4.3687220122e-01,4.5956731502e-01
5.400000,5.3737338601e-01,5.6129493521e-01,5.2714579651e-01,5.9309967197e-01,4.8886454485e-01,5.1143326037e-01,4.0682103905e-01,4.7269155544e-01,4.3891512240e-01,4.6236068819e-01
5.450000,5.3449630623e-01,5.6006783129e-01,5.2055060715e-01,5.9444992316e-01,4.9678523851e-01,5.0356204027e-01,4.0550191383e-01,4.7923092740e-01,4.4010657542e-01,4.6524863676e-01
5.500000,5.3155486722e-01,5.5964106874e-01,5.1375798919e-01,5.9520381063e-01,5.0481803903e-01,4.9557334387e-01,4.0478676443e-01,4.8597367980e-01,4.4048495433e-01,4.6820548276e-01
5.550000,5.2858279587e-01,5.5996299042e-01,5.0702352516e-01,5.9525648427e-01,5.1257191167e-01,4.8785709095e-01,4.0477819015e-01,4.9266715346e-01,4.4010319243e-01,4.7119666562e-01
5.600000,5.2562127756e-01,5.6097368885e-01,5.0056927820e-01,5.9454703601e-01,5.1965758104e-01,4.8080171599e-01,4.0553412871e-01,4.9909219488e-01,4.3902317023e-01,4.7417992853e-01
